,Unnamed: 0,﻿UTC_HOUR,UTC_MIN_SEC,FLIGHT_PHASE,WIN_SPD,WIN_DIR,RALT1,IVV,ROLL,FLAP1,LDG_SELDW,LOC_DEVC,GLIDE_DEV1,IAS,VAPP,VREF,N11,N11_AVG,SPOIL_POS_NO10,AC_TYPE,LONPC,LATPC,FILENAME
0,1,15,0:11:38,FINAL,17.5,306.56,998,-800,0.53,29.94,DN,-0.0403,0,157.5,147,147,56.3,56.7,0.37,70,116.6248,40.0113,1.21E+18
1,2,15,0:11:38,FINAL,17.5,306.56,998,-800,0.7,29.94,DN,-0.0403,0,156.5,147,147,56.3,56.7,0.37,70,116.6248,40.0113,1.21E+18
2,3,15,0:11:38,FINAL,17.5,306.56,995,-800,0.7,29.94,DN,-0.0403,0,156.5,147,147,56.3,56.7,0.37,70,116.6248,40.0113,1.21E+18
3,4,15,0:11:38,FINAL,17.5,306.56,995,-800,0.88,29.94,DN,-0.0403,0,157.5,147,147,56.3,56.7,0.37,70,116.6248,40.0113,1.21E+18
4,5,15,0:11:38,FINAL,17.5,307.62,989,-784,0.88,29.94,DN,-0.0403,0,157.5,147,147,56.3,56.7,0.37,70,116.6247813,40.0113875,1.21E+18
5,6,15,0:11:38,FINAL,17.5,307.62,989,-784,0.88,29.94,DN,-0.0403,0,156.75,147,147,56.3,56.7,0.37,70,116.6247633,40.011475,1.21E+18
6,7,15,0:11:38,FINAL,17.5,307.62,987,-768,0.88,29.94,DN,-0.0403,0,156.75,147,147,56.3,56.7,0.42,70,116.6247464,40.0115625,1.21E+18
7,8,15,0:11:38,FINAL,17.5,307.62,987,-768,0.88,29.94,DN,-0.0403,0,154.5,147,147,56.3,56.7,0.37,70,116.6247313,40.01165,1.21E+18
8,9,15,0:11:39,FINAL,17.5,307.62,985,-752,0.88,29.94,DN,-0.0403,0,154.5,147,147,56.3,56.7,0.37,70,116.6247185,40.0117375,1.21E+18
9,10,15,0:11:39,FINAL,17.5,307.62,985,-752,0.53,29.94,DN,-0.0403,0,152.75,147,147,56.3,56.7,0.37,70,116.6247086,40.011825,1.21E+18
10,11,15,0:11:39,FINAL,17.5,307.62,983,-736,0.53,29.94,DN,-0.0403,0,152.75,147,147,56.3,56.7,0.37,70,116.6247022,40.0119125,1.21E+18
11,12,15,0:11:39,FINAL,17.5,307.62,983,-736,0.18,29.94,DN,-0.0403,0,154,147,147,56.3,56.7,0.37,70,116.6247,40.012,1.21E+18
12,13,15,0:11:39,FINAL,17,307.27,979,-752,0.18,29.94,DN,-0.0302,0,154,147,147,56.3,56.7,0.37,70,116.6247,40.0120891,1.21E+18
13,14,15,0:11:39,FINAL,17,307.27,979,-752,-0.35,29.94,DN,-0.0302,0,153.25,147,147,56.3,56.7,0.37,70,116.6247,40.01218047,1.21E+18
14,15,15,0:11:39,FINAL,17,307.27,974,-752,-0.35,29.94,DN,-0.0302,0,153.25,147,147,56.4,56.7,1.07,70,116.6247,40.01227275,1.21E+18
15,16,15,0:11:39,FINAL,17,307.27,974,-752,-0.7,29.94,DN,-0.0302,0,156,147,147,56.4,56.7,2.52,70,116.6247,40.01236458,1.21E+18
16,17,15,0:11:40,FINAL,17,307.27,970,-768,-0.7,29.94,DN,-0.0302,0,156,147,147,56.4,56.7,2.97,70,116.6247,40.01245459,1.21E+18
17,18,15,0:11:40,FINAL,17,307.27,970,-768,-0.7,29.94,DN,-0.0302,0,156.5,147,147,56.4,56.7,3.07,70,116.6247,40.01254141,1.21E+18
18,19,15,0:11:40,FINAL,17,307.27,963,-800,-0.7,29.94,DN,-0.0302,0,156.5,147,147,56.4,56.7,2.27,70,116.6247,40.01262367,1.21E+18
19,20,15,0:11:40,FINAL,17,307.27,963,-800,-0.35,29.94,DN,-0.0302,0,157,147,147,56.4,56.7,0.37,70,116.6247,40.0127,1.21E+18
20,21,15,0:11:40,FINAL,16.5,306.56,959,-832,-0.35,29.94,DN,-0.0202,0,157,147,147,56.4,56.7,0.37,70,116.6246914,40.01276934,1.21E+18
21,22,15,0:11:40,FINAL,16.5,306.56,959,-832,0.18,29.94,DN,-0.0202,-0.01,157.5,147,147,56.4,56.7,0.37,70,116.6246688,40.01283281,1.21E+18
